SKU                       物料名称                            单个SKU拣选时间(秒)
------------------------------------------------------------------------
1000533251:A01            气管接头                                  21.126
1003802961:A01            水管接头                                  20.943
1003988322:A01            排气管支架                                 20.001
1003570491:A01            支撑块                                   19.936
1011073909:A01            发动机吊板                                 19.715
1007701800:A01            燃油回油管总成                               19.382
612630040167:A01          气门杆密封套                                19.256
1005375097:A01            燃油回油管总成                               19.217
612600062152:A01          板                                     19.143
1012339598:A01            空压机水管总成                               18.948
1000053250:A01            水管接头                                  18.936
612600061007:A01          风扇托架                                  18.934
1000087564:A01            空压机水管总成                               18.746
1006932340:A01            燃油回油管总成                               17.991
612600081451:A01          转速控制器                                 17.851
1001568442:A01            卡套                                    17.775
1001880657:A01            燃油回油管总成                               17.629
1001873452:A01            消声器支架                                 17.122
1009900375:A01            燃油进油管总成                               17.042
1001344525Z:A01           电磁执行器                                 16.969
1001758290:A01            活塞喷嘴总成                                16.815
1002149438:A01            机油泵吸油管                                16.569
1002027974:A01            支架                                    16.376
1000102929:A01            线束支架                                  16.351
1001903637:A01            后取力润滑油管总成                             16.347
1000264739:A01            发动机吊板                                 16.297
1007501052:A01            燃油进油管总成                               16.292
13052495:A01              转速传感器                                 16.211
1007500775:A01            燃油进油管总成                               16.203
1004351977:A01            发动机吊板                                 16.178
1003629568:A01            线束支架                                  16.086
612600070001:A01          垫片                                    16.066
611600020006:A01          飞轮螺栓                                  15.884
1001474076:A01            热交换器支架                                15.873
612700120019:A01          空滤器支架                                 15.751
1004979093:A01            加机油管总成                                15.533
13058062:A01              胶管                                    15.514
1000158538:A01            ECU支架                                 15.436
1004099381Z:A01           电磁执行器                                 15.286
1002961795:A01            后处理安装支架                               15.258
1001063476:A01            转速控制器                                 15.187
1000943165:A01            转速控制器                                 15.145
1002056092:A01            管夹                                    15.066
1011200042:A01            电磁执行器                                 14.956
13073530:A01              堵盖                                    14.800
1004764925:A01            排气管支架                                 14.756
1003815036:A01            油底壳托块                                 14.742
13035709:A01              燃油回油管总成                               14.725
1001236739:A01            发动机吊板                                 14.715
612600080914:A01          高压油管总成                                14.681
1005213424:A01            ECU支架                                 14.600
1014274957:A01            风扇连接盘                                 14.573
1001179675:A01            电磁执行器                                 14.423
1002004456:A01            油气分离器进气管                              14.298
1004891176:A01            管夹总成                                  14.255
1002254178:A01            发动机吊板                                 14.250
1009270981:A01            管夹总成                                  14.242
1002304092:A01            风扇连接盘                                 14.154
1008362013:A01            水管接头                                  14.144
1005338311:A01            燃油滤清器支架                               14.125
1007332590:A01            中间齿轮总成                                14.121
1001893109:A01            线束支架                                  14.041
612600083519:A01          燃油回油管总成                               13.979
612600090933:A01          发电机支架                                 13.958
1005187351:A01            发电机支架                                 13.957
1011505766:A01            支架                                    13.901
1000807142:A01            支架                                    13.870
13038688Z:A01             转速控制器                                 13.803
1001344524Z:A01           电磁执行器                                 13.618
13039565:A01              转速控制器                                 13.577
1003435006:A01            燃油回油管总成                               13.522
1000924567:A01            电磁执行器                                 13.445
1007345004:A01            喷油泵法兰                                 13.441
612600080871:A01          喷油泵法兰                                 13.376
1000373477:A01            发电机支架                                 13.375
612600115325:A01          进气接管                                  13.352
1003988296:A01            支架                                    13.301
1002915982:A01            空压机水管总成                               13.241
1001452995:A01            喷油泵法兰                                 13.241
1002730460:A01            垫块                                    13.236
1003616398:A01            发动机支架                                 13.227
610800540122:A01          发动机支架                                 13.226
612630061122:A01          板                                     13.215
1002512895:A01            气管接头                                  13.042
612600090825:A01          发电机支架                                 13.032
1003230217:A01            张紧轮支架                                 13.026
1009553735:A01            喷油泵齿轮                                 13.009
13024152:A01              燃油滤清器支架                               13.008
1002711049:A01            法兰                                    12.973
612600061933:A01          发电机支架                                 12.962
13053513:A01              燃油回油管                                 12.951
612600130300:A01          管接头                                   12.943
1006649272:A01            放气管总成                                 12.907
